Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Timezone Region
4387,Tuscaloosa Regional Airport,Tuscaloosa AL,United States,TCL,KTCL,33.22060013,-87.61139679,170,-6,A,America/Chicago
4388,Dubuque Regional Airport,Dubuque IA,United States,DBQ,KDBQ,42.40200043,-90.70950317,1077,-6,A,America/Chicago
4390,Shun Tak Heliport,Hong Kong,Hong Kong,HHP,VHST,22.28937149,114.152153,107,8,N,Asia/Hong_Kong
5404,Uru Harbour Airport,Atoifi,Solomon Islands,ATD,AGAT,-8.87333,161.011002,0,11,U,Pacific/Guadalcanal
5405,Gwaunaru'u Airport,Auki,Solomon Islands,AKS,AGGA,-8.70257,160.682007,5,11,U,Pacific/Guadalcanal
5406,Ballalae Airport,Ballalae,Solomon Islands,BAS,AGGE,-6.990745,155.886656,5,11,U,Pacific/Guadalcanal
5407,Fera/Maringe Airport,Fera Island,Solomon Islands,FRE,AGGF,-8.1075,159.576996,0,11,U,Pacific/Guadalcanal
5408,Babanakira Airport,Mbambanakira,Solomon Islands,MBU,AGGI,-9.74750042,159.8390045,0,11,U,Pacific/Guadalcanal
5409,Ngorangora Airport,Kirakira,Solomon Islands,IRA,AGGK,-10.44970036,161.897995,54,11,U,Pacific/Guadalcanal
5410,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Solomon Islands,SCZ,AGGL,-10.72029972,165.7949982,18,11,U,Pacific/Guadalcanal
5411,Munda Airport,Munda,Solomon Islands,MUA,AGGM,-8.327969551,157.2630005,10,11,U,Pacific/Guadalcanal
5412,Nusatupe Airport,Gizo,Solomon Islands,GZO,AGGN,-8.097780228,156.8639984,13,11,U,Pacific/Guadalcanal
5413,Mono Airport,Stirling Island,Solomon Islands,MNY,AGGO,-7.416940212,155.5650024,0,11,U,Pacific/Guadalcanal
5414,Rennell/Tingoa Airport,Rennell Island,Solomon Islands,RNL,AGGR,-11.53390026,160.0630035,0,11,U,Pacific/Guadalcanal
5415,Marau Airport,Marau,Solomon Islands,RUS,AGGU,-9.86166954,160.8249969,0,11,U,Pacific/Guadalcanal
5416,Suavanao Airport,Suavanao,Solomon Islands,VAO,AGGV,-7.585559845,158.7310028,0,11,U,Pacific/Guadalcanal
5417,Kaghau Airport,Kagau Island,Solomon Islands,KGE,AGKG,-7.3305,157.585,30,11,U,Pacific/Guadalcanal
5418,Ramata Airport,Ramata,Solomon Islands,RBV,AGRM,-8.168060303,157.6430054,0,11,U,Pacific/Guadalcanal
5419,Buka Airport,Buka Island,Papua New Guinea,BUA,AYBK,-5.422319889,154.6730042,11,10,U,Pacific/Port_Moresby
5420,Chimbu Airport,Kundiawa,Papua New Guinea,CMU,AYCH,-6.024290085,144.970993,4974,10,U,Pacific/Port_Moresby
5421,Daru Airport,Daru,Papua New Guinea,DAU,AYDU,-9.086759567,143.2079926,20,10,U,Pacific/Port_Moresby
5422,Gurney Airport,Gurney,Papua New Guinea,GUR,AYGN,-10.3114996,150.3339996,88,10,U,Pacific/Port_Moresby
5423,Girua Airport,Girua,Papua New Guinea,PNP,AYGR,-8.80453968,148.3090057,311,10,U,Pacific/Port_Moresby
